Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile
RED_au8FuncSchematicNum|uint8|NVMSRV|1|1|5|REDPROD_2_NvMRamBlockDataStruct.RED_au8FuncSchematicNum|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8FuncSchematicNum||4||||||||0|1||||1|0|0||0
RED_au8Prod5Reserve|uint8|NVMSRV|1|1|21|REDPROD_5_NvMRamBlockDataStruct.RED_au8Prod5Reserve|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8Prod5Reserve||4||||||||0|1||||1|0|0||0
RED_au8InitialMcwRomChecksum|uint8|NVMSRV|1|1|2|REDPROD_5_NvMRamBlockDataStruct.RED_au8InitialMcwRomChecksum|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8InitialMcwRomChecksum||4||||||||0|1||||1|0|0||0
RED_au8CieValeoNumIdx|uint8|NVMSRV|1|1|2|REDPROD_5_NvMRamBlockDataStruct.RED_au8CieValeoNumIdx|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8CieValeoNumIdx||4||||||||0|1||||1|0|0||0
RED_au8CieValeoNum|uint8|NVMSRV|1|1|5|REDPROD_5_NvMRamBlockDataStruct.RED_au8CieValeoNum|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8CieValeoNum||4||||||||0|1||||1|0|0||0
RED_au8Prod8Reserve|uint8|NVMSRV|1|1|24|REDPROD_8_NvMRamBlockDataStruct.RED_au8Prod8Reserve|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8Prod8Reserve||4||||||||0|1||||1|0|0||0
RED_s8TrimGainOutput_CM_3|sint8|NVMSRV|1|0|0|REDPROD_8_NvMRamBlockDataStruct.RED_s8TrimGainOutput_CM_3|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_s8TrimGainOutput_CM_3||4||||||||0|1||||1|0|0||0
RED_s8TrimGainOutput_CM_24|sint8|NVMSRV|1|0|0|REDPROD_8_NvMRamBlockDataStruct.RED_s8TrimGainOutput_CM_24|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_s8TrimGainOutput_CM_24||4||||||||0|1||||1|0|0||0
RED_s8TrimGainOutput_CM_45|sint8|NVMSRV|1|0|0|REDPROD_8_NvMRamBlockDataStruct.RED_s8TrimGainOutput_CM_45|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_s8TrimGainOutput_CM_45||4||||||||0|1||||1|0|0||0
RED_s8TrimGainOutput_CM_66|sint8|NVMSRV|1|0|0|REDPROD_8_NvMRamBlockDataStruct.RED_s8TrimGainOutput_CM_66|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_s8TrimGainOutput_CM_66||4||||||||0|1||||1|0|0||0
