TYPE|VALUE|EQUIVALENCES
COEF|400/65536|100*2^-14|
COEF|4880/1000|4.88|
COEF|4|2^2|
COEF|5,96046447753906E-08|2^-24|
COEF|5.9604644775390625E-8|2^-24|
COEF|5/8|0.625|
COEF|512/2^16|2^-7|
COEF|512/65536|2^-7|
COEF|58.046875|14860/256|
COEF|6*2^-6|3*2^-5|
COEF|6.103515625E-5|2^-14|
COEF|6/2^16|3*2^-15|
COEF|6/2^6|3*2^-5|
COEF|6/64|3*2^-5|
COEF|625/1000|0.625|
COEF|64*0.0000001|64/10000000|
COEF|64|2^6|
COEF|7,812/65536000|7.812*10^-3*2^-16|
COEF|7,812/65536|7.812*2^-16|
COEF|7.450580596923828E-9|2^-27|
COEF|7.812/2^16|7.812*2^-16|
COEF|7.812/65536000|7.812*10^-3*2^-16|
COEF|7.812/65536|7.812*2^-16|
COEF|8.0|2^3|
COEF|80/65536|5/4096|
COEF|8|2^3|
COEF|9.5367431640625e-9|20.48*2^-31|
COEF|EngSt_SampleTiSlow_SC / 1000|EngSt_SampleTiSlow_SC/1000|
COEF|EngSt_SampleTiSlow_SC/ 1000|EngSt_SampleTiSlow_SC/1000|
COEF|n/a|1|
COEF| |1|
TYPE|-(n/a)| |
TYPE|Bool|boolean|
TYPE|Float|float|
TYPE|GDFRM_tenuGDUState|uint8|
TYPE|Length|uint16|
TYPE|Std_ReturnType|uint8|
TYPE|UInt16|uint16|
TYPE|UInt8|uint8|
TYPE|bool|uint8|
TYPE|length|uint16|
TYPE|n/a| |
TYPE|ub|uint8|
TYPE|uw|uint16|
UNIT|°/s|deg/s|
UNIT|°CK|°ck|
UNIT|°CRK|°ck|
UNIT|°Ck|°ck|
UNIT|°C|C|
UNIT|°K|K|
UNIT|°Vil|°ck|
UNIT|°c|C|
UNIT|°vil|°ck|
UNIT|°|°ck|
UNIT|øC|C|
UNIT| °C|C|
UNIT| %|%|
UNIT| - | |
UNIT| rpm|RPM|
UNIT| s.u.| |
UNIT| s|s|
UNIT| | |
UNIT|% |%|
UNIT|(K)^1/2|K^(1/2)|
UNIT|(tr/min)/sec|RPM/s|
UNIT|- | |
UNIT|-| |
UNIT|0| |
UNIT|Dec| |
UNIT|Deg C|C|
UNIT|Etat| |
UNIT|KPa|kPa|
UNIT|K^1/2|K^(1/2)|
UNIT|Kg/h|kg/h|
UNIT|Kg/s|kg/s|
UNIT|Kg|kg|
UNIT|Km/h|km/h|
UNIT|Km|km|
UNIT|Kpa|kPa|
UNIT|N.m/s|Nm/s|
UNIT|N.m|Nm|
UNIT|Rpm|RPM|
UNIT|Sec|s|
UNIT|Tr/min|RPM|
UNIT|[-]| |
UNIT|boolean| |
UNIT|bool| |
UNIT|deg C|C|
UNIT|deg|°ck|
UNIT|enum| |
UNIT|etat| |
UNIT|kmh-1|km/h|
UNIT|k|K|
UNIT|m²/-|m2|
UNIT|m²|m2|
UNIT|m/s²|m/s^2|
UNIT|m/s2|m/s^2|
UNIT|mBar|mbar|
UNIT|m^2|m2|
UNIT|mm²|mm2|
UNIT|msec|ms|
UNIT|néant| |
UNIT|n.m/s|Nm/s|
UNIT|n.m|Nm|
UNIT|nm/s|Nm/s|
UNIT|nm|Nm|
UNIT|pa|Pa|
UNIT|pmh|PMH|
UNIT|rpm/s|RPM/s|
UNIT|rpm|RPM|
UNIT|s.u.| |
UNIT|s.u| |
UNIT|s/Kg/kPa|s/kg/kPa|
UNIT|s/Kg|s/kg|
UNIT|sans objet| |
UNIT|sec|s|
UNIT|st1|st01|
UNIT|su| |
UNIT|tr/min|RPM|
UNIT|tr/mn|RPM|
UNIT|trame| |
