Writer channel;Writer fault;Reader channel;Reader fault;Callback
DGOHAL_udtTLE8718_OUT3;OPEN;DGOHAL_udtMAIN_DWN_LBDA_SNS_HEAT;OPEN;NONE
DGOHAL_udtTLE8718_OUT3;OVERLOAD;DGOHAL_udtMAIN_DWN_LBDA_SNS_HEAT;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT4;SUPPLY;DGOHAL_udtINTAKE_VVT;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT4;GROUND;DGOHAL_udtINTAKE_VVT;GROUND;NONE
DGOHAL_udtTLE8718_OUT4;OPEN;DGOHAL_udtINTAKE_VVT;OPEN;NONE
DGOHAL_udtTLE8718_OUT4;OVERLOAD;DGOHAL_udtINTAKE_VVT;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT5;SUPPLY;DGOHAL_udtSTARTER_ACTIVATION;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT5;GROUND;DGOHAL_udtSTARTER_ACTIVATION;GROUND;NONE
DGOHAL_udtTLE8718_OUT5;OPEN;DGOHAL_udtSTARTER_ACTIVATION;OPEN;NONE
DGOHAL_udtTLE8718_OUT5;OVERLOAD;DGOHAL_udtSTARTER_ACTIVATION;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT6;SUPPLY;DGOHAL_udtCHAUFFAGE_BLOW_BY;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT6;GROUND;DGOHAL_udtCHAUFFAGE_BLOW_BY;GROUND;NONE
DGOHAL_udtTLE8718_OUT6;OPEN;DGOHAL_udtCHAUFFAGE_BLOW_BY;OPEN;NONE
DGOHAL_udtTLE8718_OUT6;OVERLOAD;DGOHAL_udtCHAUFFAGE_BLOW_BY;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT7;SUPPLY;DGOHAL_udtCANISTER_PURGE_VALVE;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT7;GROUND;DGOHAL_udtCANISTER_PURGE_VALVE;GROUND;NONE
DGOHAL_udtTLE8718_OUT7;OPEN;DGOHAL_udtCANISTER_PURGE_VALVE;OPEN;NONE
DGOHAL_udtTLE8718_OUT7;OVERLOAD;DGOHAL_udtCANISTER_PURGE_VALVE;OVERLOAD;NONE
DGOHAL_udtCAMEXHAL;CAM_PATTERN;DGOHAL_udtEXH_CAM_POS;CAM_PATTERN;NONE
DGOHAL_udtCAMEXHAL;CAM_PATTERN;DGOHAL_udtCAMSHAFTEX;CAM_PATTERN;NONE
